# Units: length:mm angle:deg time:s 
# Stage: Stufe 53
stage;index;relative_time;date
"Stufe 53";53;27.2217;"2023-02-10T13:54:24.070"
# Name : Flächenkomponente 1
id;x;y;z;displacement_x;displacement_y;displacement_z;epsilon_x;epsilon_y;mises_strain;thickness_strain
0;12.3715;-9.4748;-0.1977;0.0261;0.0029;0.0058;0.0016;0.0003;0.0021;-0.0019
1;12.3763;-9.1824;-0.1973;0.0257;0.0029;0.0079;0.0004;-0.0003;0.0004;-0.0002
2;12.3814;-8.8898;-0.1998;0.0258;0.0027;0.0054;0.0010;0.0002;0.0013;-0.0012
3;12.3854;-8.5961;-0.1983;0.0258;0.0031;0.0052;0.0014;0.0001;0.0018;-0.0016
4;12.3900;-8.3044;-0.2008;0.0259;0.0024;0.0049;0.0018;-0.0002;0.0036;-0.0016
5;12.3942;-8.0105;-0.1955;0.0254;0.0026;0.0081;-0.0022;-0.0007;0.0031;0.0029
6;12.4000;-7.7186;-0.2065;0.0256;0.0033;0.0051;0.0009;0.0010;0.0026;-0.0020
7;12.4031;-7.4240;-0.2036;0.0250;0.0026;0.0002;-0.0008;-0.0020;0.0029;0.0028
8;12.4080;-7.1302;-0.1913;0.0252;0.0022;0.0093;0.0008;-0.0011;0.0016;0.0004
9;12.4125;-6.8368;-0.1961;0.0251;0.0021;0.0044;0.0009;0.0021;0.0032;-0.0031
10;12.4170;-6.5434;-0.1967;0.0250;0.0027;0.0069;0.0013;-0.0003;0.0013;-0.0010
11;12.4210;-6.2505;-0.2001;0.0248;0.0025;0.0058;0.0020;-0.0009;0.0020;-0.0011
12;12.4244;-5.9558;-0.1951;0.0239;0.0022;0.0058;-0.0013;0.0007;0.0016;0.0005
13;12.4286;-5.6619;-0.1945;0.0248;0.0024;0.0073;0.0035;-0.0012;0.0036;-0.0023
14;12.4337;-5.3688;-0.1963;0.0241;0.0019;0.0068;0.0005;-0.0010;0.0010;0.0004
15;12.4381;-5.0758;-0.1982;0.0240;0.0019;0.0088;0.0002;0.0000;0.0002;-0.0001
16;12.4438;-4.7824;-0.1996;0.0238;0.0018;0.0099;0.0004;-0.0014;0.0016;0.0010
17;12.4476;-4.4851;-0.1914;0.0243;0.0012;0.0042;0.0031;-0.0016;0.0031;-0.0015
18;12.4508;-4.1912;-0.1902;0.0237;0.0010;0.0063;0.0001;-0.0009;0.0009;0.0007
19;12.4565;-3.8972;-0.1925;0.0236;0.0005;0.0038;0.0010;-0.0003;0.0016;-0.0006
20;12.4602;-3.6034;-0.1924;0.0236;0.0003;0.0061;0.0007;-0.0012;0.0013;0.0005
21;12.4642;-3.3085;-0.1921;0.0235;0.0004;0.0057;0.0016;0.0016;0.0034;-0.0032
