# Units: length:mm angle:deg time:s 
# Stage: Stufe 155
stage;index;relative_time;date
"Stufe 155";155;38.5551;"2023-02-10T13:54:35.404"
# Name : Flächenkomponente 1
id;x;y;z
33;12.2018;0.2321;-0.2224
34;12.2015;0.5222;-0.2209
35;12.2040;0.8085;-0.2241
36;12.2138;1.0990;-0.2233
37;12.2228;1.3982;-0.2236
38;12.2263;1.7083;-0.2225
39;12.2264;1.9999;-0.2200
43;12.2395;3.1783;-0.2188
44;12.2586;3.4833;-0.2118
45;12.2466;3.7593;-0.2169
74;9.7156;9.6009;-0.2072
77;9.1849;8.9253;-0.2048
78;9.0015;8.6945;-0.2028
79;8.8166;8.4684;-0.2029
80;8.6388;8.2355;-0.2066
81;8.4394;8.0141;-0.2110
82;8.2368;7.8100;-0.2131
83;8.0233;7.6053;-0.2145
84;7.8095;7.4093;-0.2091
91;6.1513;6.1652;-0.1999
245;-5.1847;-5.6568;-0.1835
246;-4.9112;-5.5273;-0.1609
275;4.5783;-5.3666;-0.1990
276;4.8594;-5.4973;-0.2048
277;5.1279;-5.6149;-0.2059
278;5.3919;-5.7299;-0.2106
279;5.6587;-5.8743;-0.2126
280;5.9266;-6.0262;-0.2204
281;6.1667;-6.1481;-0.2148
340;11.9978;0.3351;-0.2214
341;11.9947;0.6298;-0.2256
342;12.0041;0.9185;-0.2217
343;11.9985;1.2242;-0.2138
344;12.0034;1.5163;-0.2208
345;12.0193;1.8115;-0.2191
348;12.0169;2.6923;-0.2165
349;12.0307;2.9768;-0.2217
350;12.0339;3.2787;-0.2181
351;12.0457;3.5828;-0.2159
360;12.0890;6.2434;-0.2110
361;12.0917;6.5407;-0.2116
405;11.7645;0.1668;-0.2202
406;11.7762;0.4570;-0.2209
407;11.7781;0.7436;-0.2203
408;11.7776;1.0502;-0.2241
409;11.7824;1.3453;-0.2184
410;11.7878;1.6379;-0.2189
411;11.7873;1.9414;-0.2175
413;11.8049;2.5209;-0.2190
414;11.8143;2.8135;-0.2177
415;11.8171;3.1040;-0.2200
416;11.8155;3.4125;-0.2147
417;11.8203;3.6988;-0.2161
418;11.8208;3.9963;-0.2114
419;11.8333;4.2895;-0.2138
420;11.8401;4.5886;-0.2134
421;11.8434;4.8823;-0.2183
425;11.8511;6.0840;-0.2128
426;11.8600;6.3710;-0.2117
427;11.8769;6.6367;-0.2188
470;11.5263;0.0149;-0.2186
471;11.5195;0.3173;-0.2169
472;11.5430;0.5954;-0.2169
473;11.5420;0.8808;-0.2198
474;11.5574;1.1731;-0.2223
475;11.5551;1.4778;-0.2207
476;11.5589;1.7815;-0.2221
477;11.5744;2.0745;-0.2162
478;11.5662;2.3680;-0.2139
479;11.5587;2.6651;-0.2132
480;11.5717;2.9630;-0.2139
481;11.5841;3.2473;-0.2217
482;11.5776;3.5408;-0.2176
483;11.5957;3.8347;-0.2149
484;11.5919;4.1336;-0.2160
485;11.6004;4.4369;-0.2134
486;11.6045;4.7239;-0.2191
487;11.6037;5.0157;-0.2191
488;11.6117;5.2999;-0.2133
489;11.6205;5.6115;-0.2156
492;11.6399;6.5199;-0.2069
493;11.6431;6.8064;-0.2132
494;11.6416;7.0956;-0.2105
535;11.2910;-0.1299;-0.2143
536;11.2741;0.1464;-0.2224
537;11.2946;0.4430;-0.2209
538;11.3009;0.7494;-0.2153
541;11.3098;1.6357;-0.2199
542;11.3179;1.9183;-0.2186
543;11.3186;2.1987;-0.2134
544;11.3305;2.5199;-0.2061
545;11.3310;2.8036;-0.2113
546;11.3305;3.1075;-0.2147
547;11.3399;3.3942;-0.2203
548;11.3477;3.6858;-0.2186
549;11.3581;3.9827;-0.2187
550;11.3512;4.2772;-0.2210
551;11.3670;4.5840;-0.2095
554;11.3784;5.4673;-0.2103
555;11.3857;5.7611;-0.2105
557;11.3874;6.3549;-0.2086
558;11.3961;6.6573;-0.2081
